Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2016-11-23,3900.00,RESEARCH FOR MARKETING CAMPAIGNS AND ACTIVITIES,ICM RESEARCH LIMITED,,
2016-12-02,3887.00,GRANTS TO EXTERNAL ORGANISATIONS,FOOTBALL FOUNDATION,,
2016-11-28,3864.83,HEALTH & SAFETY PEST CONTROL,ABM GROUP UK LTD,,
2016-11-23,3637.48,GRANTS TO EXTERNAL ORGANISATIONS,THE CARPENTRY CLUB,,
2016-12-05,3627.50,MANAGEMENT & SUPPORT CONSULTANCY,OVE ARUP & PARTNERS LTD,,
2016-12-09,3588.00,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,HOLLY LANG LTD,,
2016-11-25,3577.18,WATER,THAMES WATER UTILITIES LTD,,
2016-11-17,3564.72,PHOTOGRAPHY AND VIDEO DESIGN AND PRODUCTION,JACKFRANCIS MEDIA LTD,,
2016-12-09,3546.88,CONSULTANCY-PROJECT MANAGEMENT,TEMPLE GROUP LTD,,
2016-11-24,3514.84,PROPERTY MANAGEMENT FEES,ABM GROUP UK LTD,,
2016-11-16,3500.00,CONSULTANCY-COMMISSIONED REPORT,GVA GRIMLEY LTD,,
2016-11-25,3500.00,MANAGE IT SERVICES,VALIANTYS LTD,,
2016-12-01,3487.50,LEGAL FEES,BERWIN LEIGHTON PAISNER,,
2016-11-21,3465.39,GRANTS TO EXTERNAL ORGANISATIONS,LONDON WILDLIFE TRUST,,
2016-11-21,3327.66,SHARED SERVICES FEES,TRANSPORT TRADING LTD,,
2016-11-25,3300.00,PROPERTY MANAGEMENT FEES,CYNERGIN,,
2016-11-28,3219.64,PROPERTY MANAGEMENT FEES,VEOLIA ES (UK) PLC,,
2016-11-16,3203.00,MANAGEMENT & SUPPORT CONSULTANCY,DTZ DEBENHAM TIE LEUNG LTD,,
2016-12-01,3149.00,LEGAL FEES,BERWIN LEIGHTON PAISNER,,
2016-12-01,3146.00,LEGAL FEES,BERWIN LEIGHTON PAISNER,,
2016-11-21,3125.00,HEALTH & SAFETY PEST CONTROL,WYG MANAGEMENT SERVICES,,
2016-12-02,3061.88,SOFTWARE MAINTENANCE,"Amazon Web Services, Inc",,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,VIRGIN MEDIA LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,VIRGIN MEDIA LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,VIRGIN MEDIA LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,VIRGIN MEDIA LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,BT PLC,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,BT PLC,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,BT PLC,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,NOMIS CONNECTIONS LIMITED,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,NOMIS CONNECTIONS LIMITED,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
