Organisational Unit,Payment Date,Amount,Beneficiary Name
Housing,2013-04-22,840.00,WEST YORKSHIRE MAINTENANCE LTD
Housing,2013-04-19,590.00,WEST YORKSHIRE MAINTENANCE LTD
Housing,2013-04-22,-8905.00,WEST YORKSHIRE MAINTENANCE LTD
Housing,2013-04-15,1890.00,WEST YORKSHIRE PENSION FUND
Housing,2013-04-08,4766.00,WIDE LOYAL INTERNATIONAL LTD
Housing,2013-04-26,7000.00,WSP ENVIRONMENTAL LTD
Housing,2013-04-03,1055.89,YORKSHIRE HOUSING LIMITED
Housing,2013-04-24,1471.21,YORKSHIRE WATER
Housing,2013-04-08,39680.10,YORKSHIRE WATER AUTHORITY
Landscape,2013-04-05,1073.60,ACTIVE HYDRAULICS LTD
Landscape,2013-04-10,661.42,ACW GARDEN SERVICES LIMITED
Landscape,2013-04-12,1050.00,AIREDALE TREE SURGEONS
Landscape,2013-04-10,1255.00,ALFRED BAGNALL & SONS (NORTH) LTD
Landscape,2013-04-05,1150.00,ALFRED BAGNALL & SONS (NORTH) LTD
Landscape,2013-04-15,985.00,ALFRED BAGNALL & SONS (NORTH) LTD
Landscape,2013-04-05,660.00,ALFRED BAGNALL & SONS (NORTH) LTD
Landscape,2013-04-29,2158.40,AMENITY HORTICULTURAL SERVICES
Landscape,2013-04-12,2075.39,ARCO LTD
Landscape,2013-04-12,989.92,ARCO LTD
Landscape,2013-04-22,672.23,ARCO LTD
Landscape,2013-04-12,513.42,ARCO LTD
Landscape,2013-04-15,1007.00,ARTISAN SECURITY DOORS
Landscape,2013-04-15,878.00,ARTISAN SECURITY DOORS
Landscape,2013-04-26,1650.00,ASTRA ACCESS SAFTEY TRAINING LTD
Landscape,2013-04-19,805.00,ATKINS TRAINING LTD
Landscape,2013-04-08,3624.33,BALL COLEGRAVE LTD
Landscape,2013-04-29,823.02,BALL COLEGRAVE LTD
Landscape,2013-04-26,512.07,BALL COLEGRAVE LTD
Landscape,2013-04-29,758.00,BARENBRUG UK LTD
Landscape,2013-04-26,2945.12,BOB WILD GRASS MACHINERY LTD
Landscape,2013-04-26,2610.00,BOB WILD GRASS MACHINERY LTD
Landscape,2013-04-10,600.00,CAMEO Ltd
Landscape,2013-04-10,4656.00,Chatsworth Stone Products Ltd
Landscape,2013-04-12,5096.00,DRAKE PLANT HIRE
Landscape,2013-04-29,3990.00,DRAKE PLANT HIRE
Landscape,2013-04-08,3278.00,DRAKE PLANT HIRE
Landscape,2013-04-26,3000.00,DRAKE PLANT HIRE
Landscape,2013-04-26,2837.00,DRAKE PLANT HIRE
Landscape,2013-04-26,2800.00,DRAKE PLANT HIRE
Landscape,2013-04-22,2500.00,DRAKE PLANT HIRE
Landscape,2013-04-12,1920.00,DRAKE PLANT HIRE
Landscape,2013-04-29,1350.00,DRAKE PLANT HIRE
Landscape,2013-04-08,925.00,DRAKE PLANT HIRE
Landscape,2013-04-08,900.00,DRAKE PLANT HIRE
Landscape,2013-04-08,800.00,DRAKE PLANT HIRE
Landscape,2013-04-22,560.00,DRAKE PLANT HIRE
Landscape,2013-04-22,1693.29,ESTATE SAWMILLS
Landscape,2013-04-22,1395.70,ESTATE SAWMILLS
Landscape,2013-04-03,2220.00,FURNITUBES INTERNATIONAL LIMITED
Landscape,2013-04-29,1501.63,GALA TENT
Landscape,2013-04-22,1299.85,GB SPORT & LEISURE UK LTD
Landscape,2013-04-29,708.40,GEM AMENITY LTD
Landscape,2013-04-19,531.85,GEM AMENITY LTD
Landscape,2013-04-08,511.40,GEM AMENITY LTD
Landscape,2013-04-19,502.13,GEM AMENITY LTD
Landscape,2013-04-29,20368.64,GLENDALE MANAGED SERVICES LTD
Landscape,2013-04-29,11902.68,GLENDALE MANAGED SERVICES LTD
Landscape,2013-04-19,10996.67,GLENDALE MANAGED SERVICES LTD
Landscape,2013-04-29,10565.00,GLENDALE MANAGED SERVICES LTD
Landscape,2013-04-12,10348.02,GLENDALE MANAGED SERVICES LTD
Landscape,2013-04-08,7440.95,GLENDALE MANAGED SERVICES LTD
Landscape,2013-04-08,4863.36,GLENDALE MANAGED SERVICES LTD
Landscape,2013-04-29,1906.06,GLENDALE MANAGED SERVICES LTD
Landscape,2013-04-29,1853.91,GLENDALE MANAGED SERVICES LTD
Landscape,2013-04-08,1409.45,GLENDALE MANAGED SERVICES LTD
Landscape,2013-04-29,1323.55,GLENDALE MANAGED SERVICES LTD
Landscape,2013-04-08,1201.69,GLENDALE MANAGED SERVICES LTD
Landscape,2013-04-29,1015.44,GLENDALE MANAGED SERVICES LTD
Landscape,2013-04-19,989.64,GLENDALE MANAGED SERVICES LTD
Landscape,2013-04-08,803.07,GLENDALE MANAGED SERVICES LTD
Landscape,2013-04-08,2513.00,HUCK NETS (UK) LTD
Landscape,2013-04-22,3578.93,INDUSTRIAL & MOTOR COMPONENTS LTD
Landscape,2013-04-15,2500.00,INDUSTRY MUSIC GROUP LTD
Landscape,2013-04-17,2500.00,INDUSTRY MUSIC GROUP LTD
Landscape,2013-04-15,5000.00,INTERNATIONAL TALENT BOOKING
Landscape,2013-04-17,6104.00,J & J LEARMONTH
Landscape,2013-04-05,2857.49,J A JONES & SONS CHURCHTOWN LTD
Landscape,2013-04-29,1709.82,J C PEACOCK AND COMPANY LTD
Landscape,2013-04-29,1677.96,J C PEACOCK AND COMPANY LTD
Landscape,2013-04-12,1674.42,J C PEACOCK AND COMPANY LTD
Landscape,2013-04-29,1669.70,J C PEACOCK AND COMPANY LTD
Landscape,2013-04-10,2000.00,J L ALBUTT LTD
Landscape,2013-04-15,2000.00,J L ALBUTT LTD
Landscape,2013-04-15,2000.00,J L ALBUTT LTD
Landscape,2013-04-15,2000.00,J L ALBUTT LTD
Landscape,2013-04-15,2000.00,J L ALBUTT LTD
Landscape,2013-04-15,2000.00,J L ALBUTT LTD
Landscape,2013-04-12,1000.00,KB INDUSTRIES UK Ltd
Landscape,2013-04-22,580.80,KEYLINE BUILDERS MERCHANTS
Landscape,2013-04-05,1683.00,KNOWL PARK NURSERIES
Landscape,2013-04-05,505.10,KNOWL PARK NURSERIES
Landscape,2013-04-26,704.55,LEEDS COUNCIL
Landscape,2013-04-17,2300.00,LUBBE & SONS (BULBS) LTD
Landscape,2013-04-10,2000.00,LUBBE & SONS (BULBS) LTD
Landscape,2013-04-08,598.80,NAYLOR MYERS LTD
Landscape,2013-04-05,890.00,OFFICE SET UP
Landscape,2013-04-05,4062.20,PENNINE PLAYGROUNDS LTD
Landscape,2013-04-19,3666.50,PETERSFIELD GROWING MEDIUMS
Landscape,2013-04-22,670.00,RIGBY TAYLOR LTD
Landscape,2013-04-08,700.00,RYNAT LTD
Landscape,2013-04-15,686.00,S G ELLIS (ELECTRICAL CONTRACTORS)
Landscape,2013-04-05,1280.00,SHERRIFF AMENITY SERVICES
Landscape,2013-04-29,1250.00,SHERRIFF AMENITY SERVICES
Landscape,2013-04-05,1047.60,SHERRIFF AMENITY SERVICES
Landscape,2013-04-29,867.00,SHERRIFF AMENITY SERVICES
Landscape,2013-04-05,753.60,SHERRIFF AMENITY SERVICES
Landscape,2013-04-05,607.24,SHERRIFF AMENITY SERVICES
Landscape,2013-04-15,591.80,SHERRIFF AMENITY SERVICES
Landscape,2013-04-24,2000.00,SILVER BULLET DIGITAL LTD
Landscape,2013-04-22,3090.21,SPALDINGS UK LIMITED
Landscape,2013-04-15,1000.00,T KENDALL (SURFACING)
Landscape,2013-04-05,921.36,THOMAS CROMPTON EXCAVATIONS LTD
Landscape,2013-04-08,780.12,THOMAS CROMPTON EXCAVATIONS LTD
Landscape,2013-04-29,712.80,THOMAS CROMPTON EXCAVATIONS LTD
Landscape,2013-04-08,670.56,THOMAS CROMPTON EXCAVATIONS LTD
Landscape,2013-04-26,3051.00,TRACKYOU LTD
Landscape,2013-04-19,2200.00,TREVOR ILES LIMITED
Landscape,2013-04-29,4800.00,UTILITY TREE SERVICES
Landscape,2013-04-29,3562.50,UTILITY TREE SERVICES
Landscape,2013-04-29,2600.00,UTILITY TREE SERVICES
Landscape,2013-04-03,600.00,UTILITY TREE SERVICES
Landscape,2013-04-08,2600.00,WONDERBERRY UK LTD
Legal Services,2013-04-12,694.53,ADVANCED CHILDCARE ASSESSMENTS LTD
Legal Services,2013-04-03,563.55,APPLE TRANSCRIPTION
Legal Services,2013-04-08,895.76,CANON (UK) LTD
Legal Services,2013-04-12,1463.00,CLARE GARNHAM
Legal Services,2013-04-10,655.50,CLARE GARNHAM
Legal Services,2013-04-12,627.00,CLARE GARNHAM
Legal Services,2013-04-10,855.12,DUNCAN MAXWELL-STEWART
Legal Services,2013-04-10,1188.00,EMILY WARD
Legal Services,2013-04-12,864.00,EXPERT WITNESS
Legal Services,2013-04-08,2400.00,IVAN HARRISON
Legal Services,2013-04-12,798.00,JOANNE ASTBURY
Legal Services,2013-04-26,5571.00,LEXISNEXIS UK
Legal Services,2013-04-26,1553.40,LEXISNEXIS UK
Legal Services,2013-04-03,750.00,LIZ BASHFORTH CONSULTANCY LTD
Legal Services,2013-04-05,1738.50,MISS CATHERINE MASON
Legal Services,2013-04-05,1890.00,MR VINCENT FRASER
Legal Services,2013-04-15,500.00,PUGH & CO LTD
Legal Services,2013-04-10,1250.00,R FARLEY & M BOX
Legal Services,2013-04-08,749.16,SUE BACH ASSOCIATES LTD
"Libraries, Archives & Info",2013-04-12,590.55,AUDIOGO LIMITED
"Libraries, Archives & Info",2013-04-12,2460.00,BIBLIOTHECA
"Libraries, Archives & Info",2013-04-26,3250.00,COBWEB
"Libraries, Archives & Info",2013-04-12,4401.00,COMMUNITY PRODUCTS UK LTD
"Libraries, Archives & Info",2013-04-05,4300.00,CREDITSAFE BUSINESS SOLUTIONS LTD
"Libraries, Archives & Info",2013-04-26,2105.00,FG LIBRARY PRODUCTS
"Libraries, Archives & Info",2013-04-08,3000.00,JIGSAW AT WORK
"Libraries, Archives & Info",2013-04-26,2324.30,OCLC (UK) LTD
"Libraries, Archives & Info",2013-04-05,2767.50,OPENING THE BOOK FURNITURE LTD
"Libraries, Archives & Info",2013-04-22,3557.35,ROLEX BOOKS
"Libraries, Archives & Info",2013-04-29,2406.00,THE THORNBURY CENTRE
"Libraries, Archives & Info",2013-04-03,6500.00,W F HOWES LTD
"Libraries, Archives & Info",2013-04-05,618.40,W F HOWES LTD
"Libraries, Archives & Info",2013-04-08,604.00,W F HOWES LTD
"Libraries, Archives & Info",2013-04-08,4300.00,WAKEFIELD MET DIST CNCL
"Libraries, Archives & Info",2013-04-10,1946.00,Well Informed Limited
"Libraries, Archives & Info",2013-04-24,2617.10,Yorkshire Purchasing Organization
Localities,2013-04-05,1056.00,2ND NATURE CLEANING (SARAH WILSON)
Localities,2013-04-08,620.00,2ND NATURE CLEANING (SARAH WILSON)
Localities,2013-04-08,552.00,2ND NATURE CLEANING (SARAH WILSON)
Localities,2013-04-08,516.00,2ND NATURE CLEANING (SARAH WILSON)
Localities,2013-04-12,652.32,ACW GARDEN CENTRE
Localities,2013-04-10,514.00,Aiguille Ltd
Localities,2013-04-05,3434.31,ALL TERRAIN CYCLES
Localities,2013-04-15,2407.50,AMENITY HORTICULTURAL SERVICES
Localities,2013-04-29,1186.50,AMENITY HORTICULTURAL SERVICES
Localities,2013-04-29,723.06,ARGOS BUSINESS SOLUTIONS
Localities,2013-04-10,674.12,ARGOS BUSINESS SOLUTIONS
Localities,2013-04-10,540.80,ARGOS BUSINESS SOLUTIONS
Localities,2013-04-05,500.66,ARGOS BUSINESS SOLUTIONS
Localities,2013-04-15,520.00,ARTISAN SECURITY DOORS
Localities,2013-04-15,1170.00,ARTWORKS CREATIVE COMMUNITIES
Localities,2013-04-10,937.18,ASCO EDUCATIONAL SUPPLIES
Localities,2013-04-29,894.20,ASCO EDUCATIONAL SUPPLIES
Localities,2013-04-12,1029.35,ASDAN LTD
Localities,2013-04-19,1169.99,ASK THE OFFICE EQUIPMENT SPECIALIST
Localities,2013-04-26,595.00,ASSOCIATED SECURITY SOLUTIONS LTD
Localities,2013-04-15,5419.14,B & TS BUILDERS LTD
Localities,2013-04-22,5000.00,BARNARDO SERVICES LTD
Localities,2013-04-08,4550.00,BELMANS
Localities,2013-04-19,706.05,BIBIS IT SOLUTIONS
Localities,2013-04-15,561.63,BISHOP SPORTS & LEISURE LTD
Localities,2013-04-24,585.88,Blankproducts Limited
Localities,2013-04-17,524.75,BODYPOWER SPORTS LTD
Localities,2013-04-19,2000.00,BRADFORD BULLS FOUNDATION
Localities,2013-04-15,1040.00,BRADFORD CAMERA EXCHANGE CO LTD
Localities,2013-04-12,1000.00,BRADFORD CITY CENTRE PROJECT
Localities,2013-04-12,500.00,BRADFORD CITY CENTRE PROJECT
Localities,2013-04-19,1000.00,BRADFORD COMM ENVIRONMENT PROJECT
Localities,2013-04-17,748.50,Bradford Pubs 2
Localities,2013-04-08,978.30,BRADFORD YMCA
Localities,2013-04-19,1500.00,BRATHAY TRUST
Localities,2013-04-10,710.00,BUTTERSHAW CHRISTIAN FAMILY CENTRE
Localities,2013-04-03,3154.00,CAFFE SOCIETY LTD
Localities,2013-04-03,695.44,CAFFE SOCIETY LTD
Localities,2013-04-17,594.00,Cater-Kwik Ltd
Localities,2013-04-15,985.00,CHIPPINDALE PLANT LTD
Localities,2013-04-10,1550.00,Container Cabins Ltd
Localities,2013-04-03,671.30,CONWAYS TOYMASTER
Localities,2013-04-22,1220.00,CREST HYGIENE SERVICES LTD
Localities,2013-04-26,610.40,CREST HYGIENE SERVICES LTD
Localities,2013-04-22,528.00,CREST HYGIENE SERVICES LTD
Localities,2013-04-17,1225.00,CROAD AUTOMATIC SUPPLIES
Localities,2013-04-15,757.00,CROAD AUTOMATIC SUPPLIES
Localities,2013-04-03,566.00,CROAD AUTOMATIC SUPPLIES
Localities,2013-04-08,870.00,DARVILLS REMOVALS
Localities,2013-04-26,575.00,DARVILLS REMOVALS
Localities,2013-04-15,502.00,DARVILLS REMOVALS
Localities,2013-04-08,960.00,E A OGDEN FIRST AID
Localities,2013-04-19,1422.90,EARLY EXCELLENCE LTD
Localities,2013-04-08,869.00,EARLY EXCELLENCE LTD
Localities,2013-04-12,589.84,EARLY EXCELLENCE LTD
Localities,2013-04-08,4000.00,EDDISONS COMMERCIAL PROPERTY MGMT
Localities,2013-04-17,946.98,Edinburgh Bicycle Co-operative Ltd
Localities,2013-04-10,3000.00,EQUITY PARTNERSHIPS
Localities,2013-04-08,1333.34,FARNHAM PRIMARY SCHOOL
Localities,2013-04-29,779.55,FAULTLESS BUILDING SERVICES
Localities,2013-04-22,1150.00,FIRST BUS
Localities,2013-04-22,1260.00,FISICAL SPORTS
Localities,2013-04-15,525.00,FISICAL SPORTS
Localities,2013-04-19,1750.00,FRIZINGHALL COMMUNITY ASSOCIATION
Localities,2013-04-24,631.22,G E CAPITAL EQUIPMENT FINANCE LTD
Localities,2013-04-08,3237.32,GAME-ON LTD
Localities,2013-04-15,1724.83,GAME-ON LTD
Localities,2013-04-15,505.00,GEORGE PICKERSGILL & SONS LTD
Localities,2013-04-26,635.12,GLASDON UK LTD
Localities,2013-04-08,4148.65,GO OUTDOORS LTD
Localities,2013-04-19,6586.50,Greenhouses Direct
Localities,2013-04-15,920.00,HANNEY EMBROIDERY
Localities,2013-04-10,900.00,Happy Customer Ltd
Localities,2013-04-19,547.20,HEARTER MONTESSORI
Localities,2013-04-05,922.00,HIGHFIELD COMMUNITY ASSOCIATION
Localities,2013-04-05,825.00,HIGHFIELD COMMUNITY ASSOCIATION
Localities,2013-04-19,605.00,HIGHFIELD COMMUNITY ASSOCIATION
Localities,2013-04-05,552.00,HIGHFIELD COMMUNITY ASSOCIATION
Localities,2013-04-05,519.25,HIGHFIELD COMMUNITY ASSOCIATION
Localities,2013-04-08,666.66,HORTON GRANGE PRIMARY SCHOOL
Localities,2013-04-03,700.00,INVESTEC ASSET FINANCE PLC
Localities,2013-04-08,722.50,JAKE GARDINER
Localities,2013-04-15,1000.00,JAMES
Localities,2013-04-19,787.50,JANE SUTCLIFFE
Localities,2013-04-26,1462.50,JCM SEATING SOLUTIONS
Localities,2013-04-26,1281.60,JCM SEATING SOLUTIONS
Localities,2013-04-08,1840.00,JOSH DEPASS
Localities,2013-04-03,800.00,JOSH DEPASS
Localities,2013-04-08,830.00,KEIGHLEY COMMUNITY NURSERY
Localities,2013-04-26,714.97,KEY INDUSTRIAL EQUIPMENT LTD
Localities,2013-04-22,507.60,KID RAPT
Localities,2013-04-08,1132.21,KIDS LIKE ME
Localities,2013-04-05,1080.00,LLOYD THOMPSON
Localities,2013-04-26,1249.56,LONDON EMBLEM PLC
Localities,2013-04-15,880.06,LPG DIRECT (NORTHERN) LTD
Localities,2013-04-19,1385.86,MANOR BLINDS
Localities,2013-04-29,530.00,MINDSTRETCHERS
Localities,2013-04-05,870.52,MINSTER CLEANING SERVICES
Localities,2013-04-08,1100.00,MUDDY FACES
Localities,2013-04-08,2306.00,NATIONAL CHILDMINDING ASSOCIATION
Localities,2013-04-08,1990.00,NATIONAL CHILDMINDING ASSOCIATION
Localities,2013-04-24,1990.00,Next Generation Media Group
Localities,2013-04-15,2205.76,NICOLL INDUSTRIES LTD
Localities,2013-04-19,857.50,OLAS ARTS
Localities,2013-04-08,750.00,OLAS ARTS
Localities,2013-04-29,550.00,ON TRAK COMMUNITY INITIATIVE
Localities,2013-04-05,2890.85,P&MM LTD
Localities,2013-04-19,1000.00,P.A.W.E.
Localities,2013-04-08,1140.00,PICCOLO NURSERY (SALTAIRE)
Localities,2013-04-10,725.00,Pink Pineapple
Localities,2013-04-29,3804.00,PREMIER DIRECT
Localities,2013-04-22,1325.66,PRIMO PLAY LIMITED
Localities,2013-04-05,1132.75,PRO AUDIO SYSTEMS
Localities,2013-04-15,960.00,PUNJABI ROOTS
Localities,2013-04-26,500.00,Q20 THEATRE
Localities,2013-04-08,1282.95,RICHARD SPEAK & CO LTD
Localities,2013-04-12,510.00,SANDRA TURNER
Localities,2013-04-26,725.00,SIEMENS FINANCIAL SERVICES LTD
Localities,2013-04-26,1424.65,SPACE KRAFT LTD
Localities,2013-04-19,1000.00,SURF
Localities,2013-04-15,900.00,SURF
Localities,2013-04-15,500.00,SURF
Localities,2013-04-10,975.00,Susan Jensen Training Ltd
Localities,2013-04-15,825.00,THE CHILDRENS PLACE NURSERY
Localities,2013-04-15,500.00,THE CHILDRENS PLACE NURSERY
Localities,2013-04-05,1371.33,THE DISC
Localities,2013-04-05,900.00,THE DUBROVNIK HOTEL & RESTAURANT
Localities,2013-04-19,500.00,THE LIGHTHOUSE GROUP
Localities,2013-04-05,556.59,TRADE UK
Localities,2013-04-03,1670.00,VOID ARTS
Localities,2013-04-19,1400.00,VOID ARTS
Localities,2013-04-29,2739.50,WATCO UK LTD
Localities,2013-04-19,1093.25,WRS GROUP UK
Localities,2013-04-19,-567.80,WRS GROUP UK
Localities,2013-04-19,-607.90,WRS GROUP UK
Localities,2013-04-15,9776.25,WYKE COMMUNITY & CHILDRENS CENTRE
Localities,2013-04-15,5203.16,WYKE COMMUNITY & CHILDRENS CENTRE
Localities,2013-04-26,2237.02,Yorkshire Purchasing Organization
Localities,2013-04-26,1250.26,Yorkshire Purchasing Organization
Localities,2013-04-17,1040.00,Yorkshire Purchasing Organization
Localities,2013-04-19,966.08,Yorkshire Purchasing Organization
Localities,2013-04-20,928.72,Yorkshire Purchasing Organization
Localities,2013-04-19,899.90,Yorkshire Purchasing Organization
Localities,2013-04-05,830.36,Yorkshire Purchasing Organization
Localities,2013-04-17,794.00,Yorkshire Purchasing Organization
Localities,2013-04-19,688.00,Yorkshire Purchasing Organization
Localities,2013-04-20,642.70,Yorkshire Purchasing Organization
Localities,2013-04-29,622.20,Yorkshire Purchasing Organization
Localities,2013-04-05,509.71,Yorkshire Purchasing Organization
Localities,2013-04-17,506.75,Yorkshire Purchasing Organization
Localities,2013-04-05,-910.10,Yorkshire Purchasing Organization
Marketing and Communications,2013-04-15,13428.00,BAKES & LORD
Marketing and Communications,2013-04-15,3962.00,BAKES & LORD
Marketing and Communications,2013-04-22,1684.00,BAKES & LORD
Marketing and Communications,2013-04-03,1548.00,BAKES & LORD
Marketing and Communications,2013-04-03,1396.00,BAKES & LORD
Marketing and Communications,2013-04-15,1286.00,BAKES & LORD
Marketing and Communications,2013-04-08,1164.00,BAKES & LORD
Marketing and Communications,2013-04-15,1092.00,BAKES & LORD
Marketing and Communications,2013-04-08,950.00,BAKES & LORD
Marketing and Communications,2013-04-15,935.00,BAKES & LORD
Marketing and Communications,2013-04-03,892.00,BAKES & LORD
Marketing and Communications,2013-04-03,892.00,BAKES & LORD
Marketing and Communications,2013-04-19,672.00,BAKES & LORD
Marketing and Communications,2013-04-19,500.00,BAKES & LORD
Marketing and Communications,2013-04-08,3085.00,EURO LABELS PRINTERS LIMITED
Marketing and Communications,2013-04-12,2468.95,EXTREME DISPLAY LTD
Marketing and Communications,2013-04-22,590.75,EXTREME DISPLAY LTD
Marketing and Communications,2013-04-26,2996.45,HAMBLESIDE BUSINESS GIFT SOLUTIONS
Marketing and Communications,2013-04-24,533.00,IMAGE DATA GROUP
Marketing and Communications,2013-04-26,5843.74,MEDIACOM NORTH LTD
Marketing and Communications,2013-04-26,3382.00,MEDIACOM NORTH LTD
Marketing and Communications,2013-04-26,2803.50,MEDIACOM NORTH LTD
Marketing and Communications,2013-04-26,1383.06,MEDIACOM NORTH LTD
Marketing and Communications,2013-04-26,1200.00,MEDIACOM NORTH LTD
Marketing and Communications,2013-04-26,858.00,MEDIACOM NORTH LTD
Marketing and Communications,2013-04-26,805.00,MEDIACOM NORTH LTD
Marketing and Communications,2013-04-26,559.30,MEDIACOM NORTH LTD
Marketing and Communications,2013-04-26,1430.10,MITCHELL PRINTERS LTD
Marketing and Communications,2013-04-03,1368.00,MITCHELL PRINTERS LTD
Marketing and Communications,2013-04-03,1230.00,MITCHELL PRINTERS LTD
Marketing and Communications,2013-04-15,1650.00,ONE 17 GC
Marketing and Communications,2013-04-12,1240.00,PFF PRESENTATION PRODUCTS LTD
Marketing and Communications,2013-04-08,911.10,SPECTRUM PLASTICS
Marketing and Communications,2013-04-12,15372.00,SPELLMAN & WALKER
Marketing and Communications,2013-04-08,5364.00,SPELLMAN & WALKER
Marketing and Communications,2013-04-08,1075.00,SPELLMAN & WALKER
Marketing and Communications,2013-04-08,999.00,SPELLMAN & WALKER
Marketing and Communications,2013-04-12,14403.95,TNLC LTD
Marketing and Communications,2013-04-08,19527.48,YORKSHIRE WEB
Markets,2013-04-12,1661.00,BSI MANAGEMENT SYSTEMS
Markets,2013-04-26,602.00,BSI MANAGEMENT SYSTEMS
Markets,2013-04-08,521.64,CHARLES H WOOD SECURITY (BFD) LTD
Markets,2013-04-26,600.00,CONNECT TECHNOLOGY GROUP LTD
Markets,2013-04-26,600.00,CONNECT TECHNOLOGY GROUP LTD
Markets,2013-04-26,600.00,CONNECT TECHNOLOGY GROUP LTD
Markets,2013-04-26,600.00,CONNECT TECHNOLOGY GROUP LTD
Markets,2013-04-22,1728.00,KING'S SECURITY SYSTEMS LTD
Markets,2013-04-15,1512.00,KING'S SECURITY SYSTEMS LTD
Markets,2013-04-15,1512.00,KING'S SECURITY SYSTEMS LTD
Markets,2013-04-22,866.25,KING'S SECURITY SYSTEMS LTD
Markets,2013-04-15,778.50,KING'S SECURITY SYSTEMS LTD
Markets,2013-04-15,706.50,KING'S SECURITY SYSTEMS LTD
Markets,2013-04-22,603.00,KING'S SECURITY SYSTEMS LTD
Markets,2013-04-15,567.00,KING'S SECURITY SYSTEMS LTD
Markets,2013-04-15,567.00,KING'S SECURITY SYSTEMS LTD
Markets,2013-04-15,513.00,KING'S SECURITY SYSTEMS LTD
Markets,2013-04-15,513.00,KING'S SECURITY SYSTEMS LTD
Markets,2013-04-12,513.00,KING'S SECURITY SYSTEMS LTD
Markets,2013-04-24,825.00,Metcalfe Discount Textiles
Markets,2013-04-29,795.00,NABMA
Markets,2013-04-29,1110.27,NEOPOST FINANCE LTD
Markets,2013-04-29,834.09,NPOWER
Markets,2013-04-24,825.66,NPOWER
Markets,2013-04-22,906.80,ROBINSON BROS. SKIP HIRE
Markets,2013-04-26,911.00,SJB RECYCLING LTD
Markets,2013-04-26,-745.50,SJB RECYCLING LTD
Markets,2013-04-26,816.35,TIMBERPAK LTD
Markets,2013-04-22,506.13,TOYOTA MATERIAL HANDLING UK LTD
"Museums, Galleries & Heritage",2013-04-15,1985.94,BARLEYBROOK LTD
"Museums, Galleries & Heritage",2013-04-05,698.50,C'Art
"Museums, Galleries & Heritage",2013-04-05,502.50,C'Art
"Museums, Galleries & Heritage",2013-04-05,-698.50,C'Art
"Museums, Galleries & Heritage",2013-04-12,500.00,DAVID MAYNE
"Museums, Galleries & Heritage",2013-04-17,11250.00,Deep Visuals Ltd
"Museums, Galleries & Heritage",2013-04-12,584.74,EXTREME DISPLAY LTD
"Museums, Galleries & Heritage",2013-04-10,53941.87,HILL WOOLHOUSE PROPERTY MANAGEMENT
"Museums, Galleries & Heritage",2013-04-22,42331.21,HILL WOOLHOUSE PROPERTY MANAGEMENT
"Museums, Galleries & Heritage",2013-04-22,2376.15,HILL WOOLHOUSE PROPERTY MANAGEMENT
"Museums, Galleries & Heritage",2013-04-10,-2376.15,HILL WOOLHOUSE PROPERTY MANAGEMENT
"Museums, Galleries & Heritage",2013-04-22,-53941.87,HILL WOOLHOUSE PROPERTY MANAGEMENT
"Museums, Galleries & Heritage",2013-04-29,1000.00,K E SHARPE
"Museums, Galleries & Heritage",2013-04-08,21570.00,MEACO MEASURING & CONTROL
"Museums, Galleries & Heritage",2013-04-05,1480.52,MUSEUMS ASSOCIATION
"Museums, Galleries & Heritage",2013-04-19,540.00,NAOMI PARKER
"Museums, Galleries & Heritage",2013-04-05,720.00,NICOLA  J FOX
"Museums, Galleries & Heritage",2013-04-19,2500.00,NORMAN TAYLOR
"Museums, Galleries & Heritage",2013-04-26,1400.00,PAMELA KEETON
"Museums, Galleries & Heritage",2013-04-12,866.60,PHILIPPA ROCHFORD
"Museums, Galleries & Heritage",2013-04-12,2212.88,PRESERVATION EQUIPMENT LTD
"Museums, Galleries & Heritage",2013-04-12,1513.00,PRESERVATION EQUIPMENT LTD
"Museums, Galleries & Heritage",2013-04-19,4000.00,RICHARD STROUD
"Museums, Galleries & Heritage",2013-04-17,1350.00,STONE CRAFTSMAN LTD
"Museums, Galleries & Heritage",2013-04-26,600.00,T  Phelps
"Museums, Galleries & Heritage",2013-04-26,1041.68,The Flash Centre
"Museums, Galleries & Heritage",2013-04-12,506.31,XEROX FINANCE
"Museums, Galleries & Heritage",2013-04-12,-607.57,XEROX FINANCE
"Museums, Galleries & Heritage",2013-04-19,540.00,York Museums & Enterprises Ltd
Neighbourhood Service,2013-04-26,1950.00,ASE LTD
Neighbourhood Service,2013-04-12,1475.00,BLUE BOX BATTERIES LTD
Neighbourhood Service,2013-04-17,1941.17,COBALT TELEPHONE TECHNOLOGIES
Neighbourhood Service,2013-04-26,533.00,HUGHES (FAMILY BAKERS) LTD
Neighbourhood Service,2013-04-24,1968.80,IMPERIAL CIVIL ENFORCEMENT SOLUTION
Neighbourhood Service,2013-04-22,606.75,IMPERIAL CIVIL ENFORCEMENT SOLUTION
Neighbourhood Service,2013-04-29,16000.17,KEIGHLEY WORTH VALLEY RAILWAY
Neighbourhood Service,2013-04-29,937.50,LCP SECURITIES LTD
Neighbourhood Service,2013-04-26,4730.00,NATIONAL CAR PARKS LTD
Neighbourhood Service,2013-04-29,3103.81,NET VIEW SYSTEMS LTD
Neighbourhood Service,2013-04-10,5000.00,SCOTT ASSOCIATES (EUROPE) LTD
Neighbourhood Service,2013-04-08,835.60,SHIPLEY COLLEGE
